(.venv) (base) jatinkulkarni@Jatins-MacBook-Pro mod4-jatinkulkarni % python project/run_mnist_multiclass.py
Epoch 3 loss 1.3888169689820387 valid acc 13/16
Epoch 3 loss 0.3386728314087649 valid acc 14/16
Epoch 3 loss 1.1252785288073057 valid acc 15/16
Epoch 3 loss 2.4129061280888413 valid acc 16/16
Epoch 3 loss 1.7248552708808171 valid acc 15/16
Epoch 3 loss 1.2407020125837642 valid acc 16/16
Epoch 3 loss 1.047910664799487 valid acc 16/16
Epoch 3 loss 1.305015237573332 valid acc 16/16
Epoch 3 loss 0.9405527283619282 valid acc 16/16
Epoch 3 loss 0.8302070527336234 valid acc 16/16
Epoch 3 loss 1.529329821101308 valid acc 15/16
Epoch 3 loss 0.9593382154535481 valid acc 15/16
Epoch 3 loss 0.4630844125765339 valid acc 16/16
Epoch 3 loss 2.2821284680376426 valid acc 14/16
Epoch 3 loss 0.9750427469621156 valid acc 15/16
Epoch 3 loss 1.1980591745882196 valid acc 16/16
Epoch 3 loss 1.8179741839088985 valid acc 14/16
Epoch 3 loss 0.823336792946944 valid acc 15/16
Epoch 3 loss 0.6169246195039748 valid acc 14/16
Epoch 3 loss 1.0284387169446636 valid acc 14/16
Epoch 3 loss 1.522275301650475 valid acc 15/16
Epoch 3 loss 1.5083216367070615 valid acc 15/16
Epoch 3 loss 0.7226935352046943 valid acc 15/16
Epoch 3 loss 0.9873808595903694 valid acc 14/16
Epoch 3 loss 0.9114608451734365 valid acc 15/16
Epoch 3 loss 0.5106651191721091 valid acc 14/16
Epoch 3 loss 1.3505968790377407 valid acc 14/16
Epoch 3 loss 1.223441067650186 valid acc 15/16
Epoch 3 loss 1.4121831059978192 valid acc 15/16
Epoch 3 loss 0.9574497632594375 valid acc 16/16
Epoch 3 loss 0.5868474353039702 valid acc 16/16
Epoch 3 loss 1.7514750446195477 valid acc 14/16
Epoch 4 loss 0.028483467676544423 valid acc 15/16
Epoch 4 loss 1.499765325697154 valid acc 14/16
Epoch 4 loss 1.307134060057896 valid acc 16/16
Epoch 4 loss 0.7703527925081524 valid acc 16/16
Epoch 4 loss 0.6575669487726181 valid acc 14/16
Epoch 4 loss 0.4152729702138855 valid acc 15/16
Epoch 4 loss 1.6002739321917856 valid acc 15/16
Epoch 4 loss 1.315842063140933 valid acc 16/16
Epoch 4 loss 1.2930514561318462 valid acc 15/16
Epoch 4 loss 1.1312544220120722 valid acc 15/16
Epoch 4 loss 0.5695361014765775 valid acc 15/16
Epoch 4 loss 1.5198878509206284 valid acc 14/16
Epoch 4 loss 1.88395992335338 valid acc 14/16
Epoch 4 loss 2.9820359470881677 valid acc 13/16
Epoch 4 loss 2.4132271098025577 valid acc 13/16
Epoch 4 loss 1.140495849351496 valid acc 16/16
Epoch 4 loss 1.1390735284581062 valid acc 16/16
Epoch 4 loss 1.462545346408878 valid acc 16/16
Epoch 4 loss 1.237431790513884 valid acc 14/16
Epoch 4 loss 0.6428638516692539 valid acc 14/16
Epoch 4 loss 1.6039543807334486 valid acc 14/16
Epoch 4 loss 0.5569329852019035 valid acc 13/16
Epoch 4 loss 0.20224623651025292 valid acc 14/16
Epoch 4 loss 0.7555980397174247 valid acc 14/16
Epoch 4 loss 0.6030687084870946 valid acc 15/16
Epoch 4 loss 1.0816728554376893 valid acc 13/16
Epoch 4 loss 1.0348795495870193 valid acc 13/16
Epoch 4 loss 1.528864366580111 valid acc 12/16
Epoch 4 loss 0.8132165154233832 valid acc 15/16
Epoch 4 loss 0.47351119704280464 valid acc 14/16
Epoch 4 loss 1.2199335779438192 valid acc 15/16
Epoch 4 loss 1.3190589701052868 valid acc 15/16
Epoch 4 loss 0.36265337376710927 valid acc 14/16
Epoch 4 loss 0.9219279642204532 valid acc 16/16
Epoch 4 loss 1.7586602249230583 valid acc 15/16
Epoch 4 loss 1.1935914239121301 valid acc 16/16
Epoch 4 loss 0.9089372667360784 valid acc 15/16
Epoch 4 loss 0.7333198624471444 valid acc 16/16
Epoch 4 loss 0.9323058679325906 valid acc 16/16
Epoch 4 loss 0.826609656192371 valid acc 15/16
Epoch 4 loss 0.3045242573366618 valid acc 14/16
Epoch 4 loss 0.5980428058400749 valid acc 15/16
Epoch 4 loss 0.6747501278224097 valid acc 16/16
Epoch 4 loss 0.47201928572988994 valid acc 16/16
Epoch 4 loss 0.46107032053453445 valid acc 14/16
Epoch 4 loss 0.24764281199723048 valid acc 16/16
Epoch 4 loss 0.997045706574705 valid acc 16/16
Epoch 4 loss 1.9718533905610443 valid acc 14/16
Epoch 4 loss 0.30584889019684747 valid acc 16/16
Epoch 4 loss 1.3306491280624173 valid acc 16/16
Epoch 4 loss 0.7348906579507715 valid acc 15/16
Epoch 4 loss 0.7757242324072972 valid acc 16/16
Epoch 4 loss 1.4669301393808818 valid acc 16/16
Epoch 4 loss 0.6767269139271949 valid acc 14/16
Epoch 4 loss 1.1225112925071483 valid acc 15/16
Epoch 4 loss 0.5016197135117747 valid acc 14/16
Epoch 4 loss 0.6501651764368106 valid acc 14/16
Epoch 4 loss 1.5014587032175417 valid acc 15/16
Epoch 4 loss 0.8201110010955297 valid acc 16/16
Epoch 4 loss 0.5312873306768713 valid acc 16/16
Epoch 4 loss 0.37783248576146816 valid acc 15/16
Epoch 4 loss 1.1324411755432113 valid acc 15/16
Epoch 4 loss 1.4917910709849638 valid acc 15/16
Epoch 5 loss 0.019194364660025387 valid acc 16/16
Epoch 5 loss 1.1455899537014256 valid acc 14/16
